Source,Meand13C,SDd13C,Meand15N,SDd15N,n
SPOM,-21.159545,2.94328045,4.71863636,1.93419676,22
FPOM,-26.254348,2.78721566,4.44695652,1.38778907,23
CPOM,-28.766667,0.99904955,2.75,3.13529106,9
Vegetation,-25.285,7.6438243,5.11,0.45254834,2
