Source,Meand13C,SDd13C,Meand15N,SDd15N
CPOM,1.3775,1.4334449,2.49126316,0.8087901
FPOM,1.3775,1.4334449,2.49126316,0.8087901
SPOM,1.3775,1.4334449,2.49126316,0.8087901
